url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.tagesanzeiger.ch/microsofts-ehekrieg-mit-open-ai-super-siri-und-die-aufspaltung-von-google-213113705145,,"Microsofts Ehekrieg mit Open AI , Super - Siri und die Aufspaltung von Google",20250107T053000Z,"https://cdn.unitycms.io/images/CmfvVvgyKDO8fCqHSrRXmG.jpg?op=ocroped&val=1200,800,1000,1000,0,0&sum=L3ZE9sxPTag",tagesanzeiger.ch,German,Switzerland
https://www.elconfidencial.com/tecnologia/novaceno/2025-01-07/enjambres-drones-guerra-ucrania-rusia-invasion-defensa_4036206/,https://www.elconfidencial.com/amp/tecnologia/novaceno/2025-01-07/enjambres-drones-guerra-ucrania-rusia-invasion-defensa_4036206/,Los enjambres de drones entrarán en combate en Ucrania en 2025,20250107T053000Z,"https://images.ecestaticos.com/vvXHFP9NckFXhhOYuNHW6BZYnLk=/0x0:1920x1080/600x315/filters:fill(white):format(jpg):quality(99):watermark(f.elconfidencial.com/file/bae/eea/fde/baeeeafde1b3229287b0c008f7602058.png,0,275,1)/f.elconfidencial.com/original/5fd/722/9e3/5fd7229e3d908370c12486fbdcf547e7.jpg",elconfidencial.com,Spanish,Spain
https://biztoc.com/x/af58c5e8e7583f47,,"Sony - Honda venture launches Afeela EV from $89 , 900 at CES 2025",20250107T053000Z,https://biztoc.com/cdn/af58c5e8e7583f47_s.webp,biztoc.com,English,
http://www.soester-anzeiger.de/wirtschaft/experten-plaedieren-fuer-wirtschaft-first-bei-buerokratie-energie-und-zukunftsinvestitionen-zr-93498059.html,,"Experten plädieren für „ Wirtschaft first  bei Bürokratie , Energie und Zukunftsinvestitionen",20250107T053000Z,,soester-anzeiger.de,German,Germany
https://www.newspim.com/news/view/20250107000574,https://m.newspim.com/newsamp/view/20250107000574," [ 여기는 CES ] 엔비디아 , 로봇 · 자율주행용 AI 기술 무상 제공",20250107T053000Z,http://img.newspim.com/news/2025/01/07/2501071413091960_w.jpg,newspim.com,Korean,South Korea
https://www.newkerala.com/news/o/jake-sullivan-calls-pm-modi-says-india-visit-likely-617,,Jake Sullivan Final India Visit : Diplomacy and Nuclear Cooperation,20250107T053000Z,https://www.newkerala.comhttps://one.newkerala.com/images/r/narendra-modi-jake-sullivan-ani-5369.webp,newkerala.com,English,India
https://www.braidwoodtimes.com.au/story/8861087/discover-breakthrough-in-ai-and-tech-trends-at-ces-2025/?cs=2971,,Discover breakthrough in AI and tech trends at CES 2025 | Braidwood Times,20250107T053000Z,https://www.braidwoodtimes.com.au/images/transform/v1/crop/frm/172575538/2781db76-c0ef-40d3-acd8-f05760bf898a.jpeg/r0_781_8192_5082_w1200_h630_fmax.jpg,braidwoodtimes.com.au,English,Australia
https://www.newspim.com/news/view/20250107000557,https://m.newspim.com/newsamp/view/20250107000557,"정근식  AI교과서 , 교육 효과 검증 안된 성급한 결정 … 이주호 ,  재의요구  제안",20250107T053000Z,http://img.newspim.com/news/2025/01/07/250107135659707_w.jpg,newspim.com,Korean,South Korea
https://www.derbund.ch/microsofts-ehekrieg-mit-open-ai-super-siri-und-die-aufspaltung-von-google-213113705145,,"Microsofts Ehekrieg mit Open AI , Super - Siri und die Aufspaltung von Google",20250107T053000Z,"https://cdn.unitycms.io/images/CmfvVvgyKDO8fCqHSrRXmG.jpg?op=ocroped&val=1200,800,1000,1000,0,0&sum=L3ZE9sxPTag",derbund.ch,German,Switzerland
https://www.finanznachrichten.de/nachrichten-2025-01/64223778-hisense-unveils-vision-of-an-ai-future-at-ces-2025-008.htm,,Hisense Unveils Vision of an AI Future at CES 2025,20250107T053000Z,,finanznachrichten.de,English,Germany
https://biztoc.com/x/bee1db479229626b,,Nvidia brings Blackwell chips to AI PCs for personal supercomputing,20250107T053000Z,https://biztoc.com/cdn/bee1db479229626b_s.webp,biztoc.com,English,
https://alaturkaonline.com/microsoft-2025te-80-milyar-dolarlik-yatirim-yapacak/,,Microsoft 2025  te 80 milyar dolarlık yatırım yapacak,20250107T053000Z,https://i0.wp.com/alaturkaonline.com/wp-content/uploads/2025/01/microsoft-2025te-80-milyar-dolarlik-yatirim-yapacak-PyiPpkhD.jpg,alaturkaonline.com,Turkish,Turkey
https://www.ultimahora.es/opinion/editorial/2025/01/07/2301415/impacto-digitalizacion-aulas-baleares.html,https://amp.ultimahora.es/opinion/editorial/2025/01/07/2301415/impacto-digitalizacion-aulas-baleares.html,Impacto de la digitalización en las aulas de Baleares,20250107T053000Z,https://uh.gsstatic.es/autor/editorial/32.png,ultimahora.es,Spanish,Spain
https://www.hepburnadvocate.com.au/story/8861087/discover-breakthrough-in-ai-and-tech-trends-at-ces-2025/,,Discover breakthrough in AI and tech trends at CES 2025 | The Advocate - Hepburn,20250107T053000Z,https://www.hepburnadvocate.com.au/images/transform/v1/crop/frm/172575538/2781db76-c0ef-40d3-acd8-f05760bf898a.jpeg/r0_781_8192_5082_w1200_h630_fmax.jpg,hepburnadvocate.com.au,English,Australia
https://www.bssnews.net/news/236437,,"Meta Names UFC boss Dana White , a Trump ally , to board",20250107T053000Z,https://www.bssnews.net/assets/news_photos/2025/01/07/image-236437-1736219365.jpg,bssnews.net,English,Bangladesh
https://www.braidwoodtimes.com.au/story/8861087/discover-breakthrough-in-ai-and-tech-trends-at-ces-2025/,,Discover breakthrough in AI and tech trends at CES 2025 | Braidwood Times,20250107T053000Z,https://www.braidwoodtimes.com.au/images/transform/v1/crop/frm/172575538/2781db76-c0ef-40d3-acd8-f05760bf898a.jpeg/r0_781_8192_5082_w1200_h630_fmax.jpg,braidwoodtimes.com.au,English,Australia
https://www.excelsior.com.mx/hacker/sony-lanza-los-precios-de-su-primer-coche-afeela-1-puedes-apartarlo-con-4-mil-pesos/1692905,https://www.excelsior.com.mx/hacker/sony-lanza-los-precios-de-su-primer-coche-afeela-1-puedes-apartarlo-con-4-mil-pesos/1692905?amp,"Sony lanza los precios de su primer coche , Afeela 1",20250107T053000Z,https://www.excelsior.com.mx/media/pictures/2025/01/06/3238143.jpg,excelsior.com.mx,Spanish,Mexico
https://www.newspim.com/news/view/20250107000476,https://m.newspim.com/newsamp/view/20250107000476, [ 여기는 CES ] AI 로봇 시장 열렸다 ... 영화 같은 현실에  환호성  ,20250107T053000Z,http://img.newspim.com/news/2025/01/07/2501071315119130_w.jpg,newspim.com,Korean,South Korea
https://www.openpr.com/news/3805253/enameled-cookware-market-to-witness-robust-growth-projected,,"Enameled Cookware Market to Witness Robust Growth , Projected",20250107T053000Z,https://cdn.open-pr.com/L/1/L107529309_g.jpg,openpr.com,English,United States
https://www.zdnet.com/article/nvidia-signs-largest-car-maker-toyota-to-use-its-self-driving-tech/,,"Nvidia signs largest car maker , Toyota , to use its self - driving chips",20250107T053000Z,https://www.zdnet.com/a/img/resize/48fb51c4220363c168325d0f67afebbd7888a384/2025/01/07/04b5a3e8-0c91-4bd0-acb3-59b10183c0ff/nvidia-2025-ces-huang-with-thor-agx-2.png?auto=webp&fit=crop,zdnet.com,English,Japan
https://www.elconfidencial.com/tecnologia/2025-01-07/televisores-ces-tendencias-ia-nuevos-modelos_4037304/,https://www.elconfidencial.com/amp/tecnologia/2025-01-07/televisores-ces-tendencias-ia-nuevos-modelos_4037304/,Por qué no te va a apetecer comprar una tele nueva este año ( y por qué puede ser buena idea ) ,20250107T053000Z,"https://images.ecestaticos.com/lYG3q_1CPvXUrkvn2TzJzCrIW1Y=/0x0:2272x1542/600x315/filters:fill(white):format(jpg):quality(99):watermark(f.elconfidencial.com/file/bae/eea/fde/baeeeafde1b3229287b0c008f7602058.png,0,275,1)/f.elconfidencial.com/original/631/fcc/b1d/631fccb1da09d3b2a1849ee49bd56d08.jpg",elconfidencial.com,Spanish,Spain
